"STATE","OfferNonEnglish","SpecificGroupAdolescent","SpecificGroupWomen","SpecificGroupPregnant","SpecificGroupMen","SpecificGroupSeniors","SpecificGroupLGBT","SpecificGroupVeterans","SpecificGroupMentalIllness","SpecificGroupTrauma","SlidingFeeScale","OffersFreeTreatment","AcceptsMedicare","AcceptsMedicaid","AcceptsStateInsurance","AcceptsMilitaryInsurance","AcceptsPrivateInsurance","LicensedByAuthority","PrivateForProfit","PrivateNonProfit","StateGovt","DUIProgram","OfferSignLanguage","AnyPublicFunding"
"ID",0.370629370629371,0.552447552447552,0.65034965034965,0.27972027972028,0.58041958041958,0.258741258741259,0.20979020979021,0.237762237762238,0.713286713286713,0.48951048951049,0.707142857142857,0.507142857142857,0.477941176470588,0.884892086330935,0.689393939393939,0.544776119402985,0.742857142857143,0.977941176470588,0.79020979020979,0.104895104895105,0.00699300699300699,0.391608391608392,0.133802816901408,0.556390977443609
"IL",0.491851851851852,0.26962962962963,0.394074074074074,0.118518518518519,0.395555555555556,0.151111111111111,0.128888888888889,0.127407407407407,0.348148148148148,0.225185185185185,0.665676077265973,0.447916666666667,0.238601823708207,0.518072289156627,0.3861852433281,0.250406504065041,0.682779456193353,0.972850678733032,0.407407407407407,0.545185185185185,0.0103703703703704,0.519287833827893,0.200296735905045,0.482602118003026
"IN",0.539622641509434,0.278625954198473,0.404580152671756,0.114503816793893,0.354961832061069,0.16793893129771,0.106870229007634,0.16412213740458,0.358778625954198,0.32824427480916,0.718631178707224,0.330798479087452,0.5893536121673,0.637404580152672,0.603174603174603,0.595918367346939,0.778625954198473,0.922779922779923,0.294339622641509,0.664150943396226,0.00377358490566038,0.245283018867925,0.467924528301887,0.585657370517928
"KS",0.36318407960199,0.373134328358209,0.368159203980099,0.17910447761194,0.318407960199005,0.174129353233831,0.149253731343284,0.154228855721393,0.323383084577114,0.233830845771144,0.67,0.5,0.290816326530612,0.747474747474748,0.484536082474227,0.430851063829787,0.776649746192893,0.969072164948454,0.343283582089552,0.507462686567164,0.00497512437810945,0.298507462686567,0.218905472636816,0.538071065989848
"KY",0.548209366391185,0.273480662983425,0.400552486187845,0.270718232044199,0.37292817679558,0.165745856353591,0.135359116022099,0.157458563535912,0.331491712707182,0.218232044198895,0.629834254143646,0.422651933701657,0.405172413793103,0.630252100840336,0.476608187134503,0.452662721893491,0.629943502824859,0.950581395348837,0.465564738292011,0.512396694214876,0.00826446280991736,0.482093663911846,0.493112947658402,0.451895043731778
"LA",0.331210191082803,0.248407643312102,0.426751592356688,0.171974522292994,0.363057324840764,0.146496815286624,0.133757961783439,0.165605095541401,0.401273885350318,0.235668789808917,0.444444444444444,0.601307189542484,0.275167785234899,0.642384105960265,0.310344827586207,0.289655172413793,0.631578947368421,0.91156462585034,0.382165605095541,0.343949044585987,0.140127388535032,0.197452229299363,0.267515923566879,0.616438356164384
"MA",0.670422535211268,0.166197183098592,0.540845070422535,0.307042253521127,0.532394366197183,0.256338028169014,0.264788732394366,0.211267605633803,0.591549295774648,0.487323943661972,0.524216524216524,0.595441595441595,0.56973293768546,0.702623906705539,0.69208211143695,0.437888198757764,0.694524495677233,0.932748538011696,0.222535211267606,0.740845070422535,0.00845070422535211,0.146478873239437,0.442253521126761,0.660606060606061
"MD",0.328358208955224,0.239401496259352,0.501246882793017,0.241895261845387,0.498753117206983,0.241895261845387,0.229426433915212,0.229426433915212,0.483790523690773,0.356608478802993,0.579345088161209,0.296482412060302,0.324808184143222,0.753148614609572,0.464566929133858,0.212938005390836,0.580562659846547,0.941025641025641,0.509950248756219,0.36318407960199,0.0572139303482587,0.467661691542289,0.221945137157107,0.377551020408163
"ME",0.292576419213974,0.184210526315789,0.350877192982456,0.214912280701754,0.350877192982456,0.206140350877193,0.179824561403509,0.175438596491228,0.442982456140351,0.320175438596491,0.68859649122807,0.390350877192982,0.526785714285714,0.847533632286996,0.576190476190476,0.539906103286385,0.839285714285714,0.865740740740741,0.576419213973799,0.393013100436681,0,0.317180616740088,0.314410480349345,0.295154185022026
"MI",0.455114822546973,0.227557411273486,0.455114822546973,0.192066805845511,0.457202505219207,0.215031315240084,0.154488517745303,0.173277661795407,0.465553235908142,0.363256784968685,0.581589958158996,0.402922755741127,0.611464968152866,0.728421052631579,0.591611479028698,0.45578231292517,0.808016877637131,0.959488272921109,0.338204592901879,0.532359081419624,0.00835073068893528,0.257322175732218,0.419624217118998,0.569264069264069
