# Visitor arrivals by country of residence all travel mode (Monthly) -- Source Statistics New Zealand --  See metadata at bottom of table,,,,,,,,,,,
# Added GBPound to NZ Dollar Exchange Rate in Col. 10 plus Year &  Month,,,,,,,,,,,
Time,Australia,China PR,Japan,Rep Korea,Germany,UK,Canada,USA,GBP.to.NZD,Year,Month
1999M12,69680,3312,15536,6624,6608,19968,4448,23104,3.175882095,1999,12
2000M01,45713,2227,13362,9588,7191,22134,4080,20723,3.2026831,2000,1
2000M02,48465,3675,16425,5475,7980,30930,4575,25305,3.263936857,2000,2
2000M03,49020,2175,13635,5715,4965,18630,3555,19050,3.225025304,2000,3
2000M04,51705,2280,10800,4410,2925,15360,2325,14670,3.1938569,2000,4
2000M05,32956,2640,8789,3575,1683,7865,1276,10329,3.211281348,2000,5
2000M06,34800,2220,6648,3768,1104,7416,1164,13236,3.210989727,2000,6
2000M07,43530,2835,12900,7350,1710,9915,1620,16455,3.27373619,2000,7
2000M08,44520,2646,13874,4438,1498,9926,1400,10696,3.344915174,2000,8
2000M09,51885,1635,8940,2325,1980,8100,1275,8385,3.437507571,2000,9
2000M10,46512,2768,10160,4480,5328,15040,2736,17472,3.622457227,2000,10
2000M11,47984,3760,19248,7280,8304,21648,4256,18992,3.571491227,2000,11
2000M12,76772,4641,16592,8177,6783,33286,4709,20468,3.401300857,2000,12
2001M01,52440,5640,16000,11340,7720,29420,4820,18200,3.32921087,2001,1
2001M02,52088,4471,17374,6953,9265,32079,5338,25687,3.342211,2001,2
2001M03,57545,3621,16184,6562,5542,19873,4471,20961,3.454573682,2001,3
2001M04,55709,4131,12104,5780,2618,13991,2346,13515,3.532259381,2001,4
2001M05,39026,3692,10075,4693,1703,8216,1651,10101,3.384987522,2001,5
2001M06,43316,3055,7826,5239,1027,7865,1222,13754,3.38396181,2001,6
2001M07,49708,5015,12478,10285,1819,11492,1887,14892,3.461371095,2001,7
2001M08,54120,4575,15540,6810,1680,10110,1740,11670,3.338465348,2001,8
2001M09,58095,4095,9735,5520,2250,9255,1530,8250,3.48513685,2001,9
2001M10,46835,4471,8177,5984,5083,14314,2635,14042,3.507720826,2001,10
2001M11,47190,4815,9975,6900,7485,21150,4005,16470,3.45256295,2001,11
2001M12,74477,5593,13617,11101,6290,33881,5049,19839,3.4646407,2001,12
2002M01,50673,5985,14469,14238,6279,32403,6279,25200,3.380271136,2002,1
2002M02,52309,8993,17374,8466,7684,35088,5661,25330,3.3973435,2002,2
2002M03,62388,5328,18126,8262,5364,28872,4806,23058,3.2936834,2002,3
2002M04,47260,6052,13430,7973,2465,13141,2159,11492,3.254568864,2002,4
2002M05,39984,5586,10584,5698,1274,9436,1568,9982,3.174415,2002,5
2002M06,41210,4602,6838,6643,884,8944,1209,14573,3.030857316,2002,6
2002M07,54247,6256,13311,10897,1887,11696,1972,14722,3.22921825,2002,7
2002M08,47584,5696,14656,8000,1504,10512,1568,11344,3.317756364,2002,8
2002M09,54555,6390,11025,6705,2250,10470,1545,9570,3.30539325,2002,9
2002M10,48888,6012,15210,9576,4716,16488,3168,15876,3.240300091,2002,10
2002M11,50652,7794,19224,11898,7704,23616,4554,20502,3.157832789,2002,11
2002M12,82720,7840,19320,11580,6940,36320,5180,23640,3.110669733,2002,12
2003M01,53199,7682,15732,18262,7176,35650,5819,24702,2.993638556,2003,1
2003M02,57312,10080,16362,9972,8226,38448,6102,26118,2.913685769,2003,2
2003M03,60743,5776,17024,8113,5415,25308,4826,23275,2.854228871,2003,3
2003M04,60544,4304,11088,5088,2496,19360,2160,12608,2.850393333,2003,4
2003M05,41067,1209,6058,4407,1963,10868,1612,10127,2.818473613,2003,5
2003M06,43956,1672,4378,6534,913,10780,1408,15356,2.858765433,2003,6
2003M07,52740,3240,9630,12024,2142,13428,1890,15282,2.773203839,2003,7
2003M08,54043,3859,11951,7497,2006,12512,1377,10642,2.737497194,2003,8
2003M09,65232,5504,10784,7360,2384,12176,1744,9728,2.755797133,2003,9
2003M10,55195,6004,12122,8740,4807,17214,2774,16340,2.78831771,2003,10
2003M11,57855,6935,18012,13243,7372,26505,4750,21508,2.693646233,2003,11
2003M12,100276,9724,17710,11418,7634,42570,5478,25938,2.712560613,2003,12
2004M01,67475,9225,14525,18575,7775,38950,6000,25325,2.714465774,2004,1
2004M02,70077,6405,16800,10941,9513,43491,5733,23520,2.697433793,2004,2
2004M03,74928,6321,17157,8274,5901,28518,4683,23142,2.765746355,2004,3
2004M04,77931,6636,12537,7077,2520,19824,2541,14805,2.809332967,2004,4
